antecedent	consequent	count	mean_confidence	max_confidence	mean_lift	max_lift
v@IPR020124	h@GO0044444	11	0.7598	0.8311	0.3677	0.6022
v@IPR020726	h@GO0044444	8	0.7791	0.8082	0.5276	0.5856
v@IPR024346	h@GO0044444	2	0.8445	0.8539	0.612	0.6188
v@IPR026298	h@GO0044444	14	0.7833	0.8082	0.5469	0.5856
v@IPR029062	h@GO0044444	2	0.8445	0.8539	0.612	0.6188
v@GO0000988	h@GO0044446	5	0.8013	0.813	0.557	0.5834
v@GO0001071	h@GO0044446	21	0.8078	0.8267	0.5667	0.5932
v@GO0002682	h@GO0044446	35	0.7604	0.8513	0.5433	0.6108
v@GO0006807	h@GO0044446	25	0.7576	0.8866	0.5404	0.6362
v@GO0009058	h@GO0044446	24	0.7684	0.8866	0.5479	0.6362
v@GO0009605	h@GO0044446	29	0.7592	0.8481	0.5434	0.6086
v@GO0009607	h@GO0044446	29	0.7592	0.8481	0.5434	0.6086
v@GO0019042	h@GO0044446	11	0.7816	0.7962	0.5324	0.5713
v@GO0019048	h@GO0044446	34	0.7644	0.8438	0.5485	0.6055
v@GO0019079	h@GO0044446	11	0.7881	0.8136	0.5578	0.5838
v@GO0019083	h@GO0044446	13	0.7999	0.8101	0.5671	0.5813
v@GO0019222	h@GO0044446	36	0.7851	0.8866	0.561	0.6362
v@GO0023051	h@GO0044446	19	0.7697	0.8905	0.5523	0.639
v@GO0030430	h@GO0044446	33	0.7868	0.9006	0.5645	0.6462
v@GO0032879	h@GO0044446	18	0.7386	0.7472	0.5229	0.5362
v@GO0033647	h@GO0044446	29	0.7663	0.8234	0.5498	0.5908
v@GO0043900	h@GO0044446	3	0.8889	0.8929	0.604	0.6407
v@GO0044094	h@GO0044446	27	0.8207	0.9006	0.5856	0.6462
v@GO0044237	h@GO0044446	25	0.7592	0.8866	0.5415	0.6362
v@GO0044238	h@GO0044446	25	0.7576	0.8866	0.5404	0.6362
v@GO0044419	h@GO0044446	32	0.7669	0.8269	0.5503	0.5934
v@GO0048518	h@GO0044446	24	0.771	0.8267	0.5496	0.5932
v@GO0048519	h@GO0044446	36	0.7526	0.85	0.54	0.6099
v@GO0048583	h@GO0044446	36	0.7537	0.8513	0.5397	0.6108
v@GO0050690	h@GO0044446	29	0.7592	0.8481	0.5434	0.6086
v@GO0050794	h@GO0044446	33	0.7757	0.8866	0.5541	0.6362
v@GO0051707	h@GO0044446	29	0.7592	0.8481	0.5434	0.6086
v@GO0065009	h@GO0044446	36	0.7696	0.8314	0.5499	0.5965
v@GO0071704	h@GO0044446	25	0.7576	0.8866	0.5404	0.6362
v@GO0097159	h@GO0044446	28	0.7877	0.8798	0.5623	0.6313
v@GO1901363	h@GO0044446	28	0.7877	0.8798	0.5623	0.6313
v@IPR000427	h@GO0044446	13	0.8215	0.8323	0.5825	0.5972
v@IPR002475	h@GO0044446	9	0.7089	0.7161	0.5087	0.5139
